,Product_Name,Product_category,Color,Quantity,List_Price,url,decoration_tech,Competitor,country,scrape_date
0,17 oz. Personalized Aluminum Sports Bottle with Full-Color Wraparound,Water Bottles,White,1,$8.59,https://www.vistaprint.com/promotional-products/drinkware/sports-water-bottles/17-oz-personalized-aluminum-sports-bottle-with-full-color-wraparound?swsquery=17%20oz.%20Personalized%20Aluminum%20Sports%20Bottle%20with%20Full-Color%20Wraparound&querycat=search_dropdown,"Digital Inkjet
Unlimited colors. Smooth feel. No design limitations.",VISTA,US,2024-02-05
1,17 oz. Personalized Aluminum Sports Bottle with Full-Color Wraparound,Water Bottles,White,2,$16.11,https://www.vistaprint.com/promotional-products/drinkware/sports-water-bottles/17-oz-personalized-aluminum-sports-bottle-with-full-color-wraparound?swsquery=17%20oz.%20Personalized%20Aluminum%20Sports%20Bottle%20with%20Full-Color%20Wraparound&querycat=search_dropdown,"Digital Inkjet
Unlimited colors. Smooth feel. No design limitations.",VISTA,US,2024-02-05
2,17 oz. Personalized Aluminum Sports Bottle with Full-Color Wraparound,Water Bottles,White,3,$23.62,https://www.vistaprint.com/promotional-products/drinkware/sports-water-bottles/17-oz-personalized-aluminum-sports-bottle-with-full-color-wraparound?swsquery=17%20oz.%20Personalized%20Aluminum%20Sports%20Bottle%20with%20Full-Color%20Wraparound&querycat=search_dropdown,"Digital Inkjet
Unlimited colors. Smooth feel. No design limitations.",VISTA,US,2024-02-05
3,17 oz. Personalized Aluminum Sports Bottle with Full-Color Wraparound,Water Bottles,Silver,1,$8.59,https://www.vistaprint.com/promotional-products/drinkware/sports-water-bottles/17-oz-personalized-aluminum-sports-bottle-with-full-color-wraparound?swsquery=17%20oz.%20Personalized%20Aluminum%20Sports%20Bottle%20with%20Full-Color%20Wraparound&querycat=search_dropdown,"Digital Inkjet
Unlimited colors. Smooth feel. No design limitations.",VISTA,US,2024-02-05
4,17 oz. Personalized Aluminum Sports Bottle with Full-Color Wraparound,Water Bottles,Silver,2,$16.11,https://www.vistaprint.com/promotional-products/drinkware/sports-water-bottles/17-oz-personalized-aluminum-sports-bottle-with-full-color-wraparound?swsquery=17%20oz.%20Personalized%20Aluminum%20Sports%20Bottle%20with%20Full-Color%20Wraparound&querycat=search_dropdown,"Digital Inkjet
Unlimited colors. Smooth feel. No design limitations.",VISTA,US,2024-02-05
5,17 oz. Personalized Aluminum Sports Bottle with Full-Color Wraparound,Water Bottles,Silver,3,$23.62,https://www.vistaprint.com/promotional-products/drinkware/sports-water-bottles/17-oz-personalized-aluminum-sports-bottle-with-full-color-wraparound?swsquery=17%20oz.%20Personalized%20Aluminum%20Sports%20Bottle%20with%20Full-Color%20Wraparound&querycat=search_dropdown,"Digital Inkjet
Unlimited colors. Smooth feel. No design limitations.",VISTA,US,2024-02-05
